Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat,eta_mpsi,eta_mx,eta_my
3572767112.974811,-0.007476,-0.552632,-0.374829,-0.000000,-0.000020,-0.000007,-0.000064,-0.003962,-0.001546,-0.007476,-0.552652,-0.374835
3572767112.984810,-0.007477,-0.552672,-0.374844,-0.000000,-0.000020,-0.000007,-0.000064,-0.003961,-0.001545,-0.007477,-0.552691,-0.374850
3572767112.994811,-0.007477,-0.552712,-0.374859,-0.000000,-0.000020,-0.000007,-0.000064,-0.003959,-0.001544,-0.007477,-0.552731,-0.374866
3572767113.004811,-0.007478,-0.552751,-0.374874,-0.000000,-0.000020,-0.000007,-0.000064,-0.003958,-0.001543,-0.007478,-0.552771,-0.374881
3572767113.014812,-0.007478,-0.552791,-0.374889,-0.000000,-0.000020,-0.000007,-0.000064,-0.003956,-0.001542,-0.007479,-0.552810,-0.374896
3572767113.024813,-0.007479,-0.552830,-0.374904,-0.000000,-0.000020,-0.000007,-0.000063,-0.003954,-0.001541,-0.007479,-0.552850,-0.374911
3572767113.034812,-0.007480,-0.552870,-0.374919,-0.000000,-0.000020,-0.000007,-0.000063,-0.003953,-0.001540,-0.007480,-0.552890,-0.374926
3572767113.044814,-0.007480,-0.552910,-0.374934,-0.000000,-0.000020,-0.000007,-0.000063,-0.003951,-0.001539,-0.007481,-0.552929,-0.374941
3572767113.054811,-0.007481,-0.552949,-0.374949,-0.000000,-0.000020,-0.000007,-0.000063,-0.003950,-0.001538,-0.007481,-0.552969,-0.374956
3572767113.064813,-0.007482,-0.552989,-0.374964,-0.000000,-0.000020,-0.000007,-0.000063,-0.003948,-0.001537,-0.007482,-0.553008,-0.374971
3572767113.074814,-0.007482,-0.553028,-0.374979,-0.000000,-0.000020,-0.000007,-0.000063,-0.003947,-0.001536,-0.007482,-0.553048,-0.374986
3572767113.084814,-0.007483,-0.553068,-0.374994,-0.000000,-0.000019,-0.000007,-0.000063,-0.003945,-0.001535,-0.007483,-0.553087,-0.375001
3572767113.094814,-0.007484,-0.553107,-0.375009,-0.000000,-0.000019,-0.000007,-0.000063,-0.003944,-0.001534,-0.007484,-0.553127,-0.375016
3572767113.104813,-0.007484,-0.553147,-0.375024,-0.000000,-0.000019,-0.000007,-0.000063,-0.003942,-0.001533,-0.007484,-0.553166,-0.375031
3572767113.114813,-0.007485,-0.553186,-0.375039,-0.000000,-0.000019,-0.000007,-0.000063,-0.003941,-0.001532,-0.007485,-0.553206,-0.375046
3572767113.124814,-0.007485,-0.553226,-0.375054,-0.000000,-0.000019,-0.000007,-0.000063,-0.003939,-0.001531,-0.007486,-0.553245,-0.375060
3572767113.134816,-0.007486,-0.553265,-0.375069,-0.000000,-0.000019,-0.000007,-0.000063,-0.003937,-0.001530,-0.007486,-0.553285,-0.375075
3572767113.144815,-0.007487,-0.553304,-0.375084,-0.000000,-0.000019,-0.000007,-0.000063,-0.003936,-0.001529,-0.007487,-0.553324,-0.375090
3572767113.154815,-0.007487,-0.553344,-0.375098,-0.000000,-0.000019,-0.000007,-0.000063,-0.003934,-0.001529,-0.007487,-0.553363,-0.375105
3572767113.164815,-0.007488,-0.553383,-0.375113,-0.000000,-0.000019,-0.000007,-0.000063,-0.003933,-0.001528,-0.007488,-0.553403,-0.375120
3572767113.174817,-0.007489,-0.553423,-0.375128,-0.000000,-0.000019,-0.000007,-0.000063,-0.003931,-0.001527,-0.007489,-0.553442,-0.375135
