Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y,eta_mpsi,eta_mx,eta_my, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat
3572761131.474606,-0.049090,1.532896,0.106803,0.043311,1.494068,-0.134765,0.092401,-0.038828,-0.241568,-0.173893,0.212677,0.495569
3572761131.484608,-0.046268,1.531018,0.088602,-0.001646,1.483784,0.084236,0.044622,-0.047234,-0.004366,-0.171528,0.212433,0.493164
3572761131.494606,-0.045764,1.528550,0.092878,-0.011865,1.573508,-0.007543,0.033899,0.044958,-0.100421,-0.171406,0.212011,0.493567
3572761131.504607,-0.045783,1.534907,0.087991,0.102421,1.475007,0.126170,0.148204,-0.059900,0.038179,-0.171443,0.213125,0.492883
3572761131.514603,-0.040209,1.530744,0.096501,-0.014855,1.568847,0.013546,0.025354,0.038103,-0.082956,-0.167743,0.213082,0.493658
3572761131.524608,-0.040610,1.536472,0.093272,-0.214437,1.414652,-0.085949,-0.173827,-0.121820,-0.179221,-0.168140,0.214089,0.493164
3572761131.534608,-0.050764,1.527857,0.080363,-0.231552,1.592790,-0.046842,-0.180788,0.064933,-0.127205,-0.175318,0.212014,0.491568
3572761131.544609,-0.061329,1.537077,0.072345,-0.143767,1.588774,0.249230,-0.082439,0.051697,0.176885,-0.182913,0.212749,0.491095
3572761131.554609,-0.067157,1.544672,0.093526,-0.112212,1.452820,-0.018282,-0.045055,-0.091852,-0.111808,-0.187672,0.212754,0.493908
3572761131.564609,-0.071198,1.538461,0.087327,-0.147647,1.583954,-0.030920,-0.076448,0.045493,-0.118247,-0.190367,0.211111,0.493162
3572761131.574610,-0.076802,1.545470,0.080418,-0.077611,1.529846,-0.012045,-0.000808,-0.015624,-0.092463,-0.194178,0.211667,0.492606
3572761131.584609,-0.078742,1.546353,0.076134,-0.164212,1.606205,-0.070596,-0.085470,0.059852,-0.146730,-0.195323,0.211358,0.492177
3572761131.594608,-0.084835,1.554802,0.066459,0.057104,1.742736,-0.200771,0.141939,0.187934,-0.267229,-0.199371,0.212150,0.491387
3572761131.604611,-0.079836,1.574453,0.045800,-0.216304,1.743980,0.006149,-0.136468,0.169527,-0.039650,-0.195008,0.215578,0.488668
3572761131.614605,-0.088424,1.593598,0.046130,-0.003735,1.567184,0.081161,0.084690,-0.026414,0.035031,-0.201225,0.217669,0.489518
