L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time,alpha_VSP2,u_VSP2
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.753298,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.763298,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.773299,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.783298,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.793298,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.803301,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.813299,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.823299,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.833299,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.843299,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.853300,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.863302,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.873302,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.883300,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.893302,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.903302,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.913301,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.923304,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.933302,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.943303,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.953303,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.963304,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.973304,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.983306,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200775.993304,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.003304,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.013304,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.023305,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.033306,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.043307,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.053305,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.063307,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.073308,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.083306,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.093306,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.103309,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.113307,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.123309,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.133308,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.143309,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.153309,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.163310,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.173309,0.000000,0.000000
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.183310,0.000000,0.000000
-1.000000,0.082461,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200776.193309,0.000000,0.000000
-1.000000,0.082461,-1.000000,1.570796,0.016982,0.032459,0.000000,3569200776.203310,1.570796,0.032459
-1.000000,0.298959,-1.000000,1.570796,0.016982,0.032459,0.000000,3569200776.213311,1.570796,0.032459
-1.000000,0.298959,-1.000000,1.570796,0.061568,0.117680,0.000000,3569200776.223311,1.570796,0.117680
-1.000000,0.536088,-1.000000,1.570796,0.061568,0.117680,0.000000,3569200776.233308,1.570796,0.117680
-1.000000,0.783502,-1.000000,1.570796,0.110403,0.211021,0.000000,3569200776.243312,1.570796,0.211021
-1.000000,1.000000,-1.000000,1.570796,0.161355,0.308410,0.000000,3569200776.253312,1.570796,0.308410
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.263311,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.273313,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.283314,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.293312,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.303311,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.313313,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.323313,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.333314,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.343315,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.353313,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.363314,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.373315,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.383315,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.393315,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.403316,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.413315,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.423316,1.570796,0.393631
