L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time
-1.000000,0.247414,-1.000000,1.391189,0.050953,0.098982,0.030915,3569200170.318366
-1.000000,0.020600,-1.000000,1.304775,0.050953,0.100940,0.030915,3569200170.328366
-1.000000,0.020600,-1.000000,0.296558,0.004242,0.027748,0.000000,3569200170.338367
-1.000000,0.020600,-1.000000,1.570796,0.004242,0.008109,0.000000,3569200170.348367
-1.000000,0.000000,-1.000000,1.570796,0.004242,0.008109,0.000000,3569200170.358366
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.368367
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.378368
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.388367
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.398367
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.408369
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.418369
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.428370
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.438369
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.448370
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.458371
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.468369
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.478371
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.488370
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.498370
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.508371
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.518372
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.528372
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.538372
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.548374
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.558372
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.568373
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.578373
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.588373
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.598373
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.608376
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.618374
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.628376
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.638374
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.648375
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.658376
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.668377
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.678376
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.688376
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.698376
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.708377
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200170.718377
-1.000000,0.000000,-0.608295,0.000000,0.000000,0.000000,0.000000,3569200170.728379
-1.000000,0.000000,-0.608295,-1.570796,0.176324,0.397902,0.000000,3569200170.738378
-1.000000,0.000000,-0.350536,-1.570796,0.176324,0.397902,0.000000,3569200170.748378
-1.000000,0.000000,-0.350536,-1.570796,0.292353,0.659740,0.000000,3569200170.758378
-1.000000,0.000000,-0.020631,-1.570796,0.292353,0.659740,0.000000,3569200170.768378
-1.000000,0.000000,-0.020631,-1.570796,0.440859,0.994865,0.000000,3569200170.778379
-1.000000,0.000000,0.123692,-1.570796,0.440859,0.994865,0.000000,3569200170.788379
-1.000000,0.000000,0.123692,-1.570796,0.505824,-1.000000,0.000000,3569200170.798378
-1.000000,0.000000,0.814447,-1.570796,0.505824,-1.000000,0.000000,3569200170.808380
-1.000000,0.000000,0.814447,-1.570796,0.816765,-1.000000,0.000000,3569200170.818377
-1.000000,0.000000,1.000000,-1.570796,0.816765,-1.000000,0.000000,3569200170.828381
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.838380
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.848382
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.858380
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.868381
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.878382
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.888381
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.898382
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.908383
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.918382
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.928383
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.938383
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.948383
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.958384
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.968386
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.978384
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.988385
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200170.998384
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.008385
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.018385
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.028387
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.038385
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.048386
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.058387
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.068387
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.078387
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.088389
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.098387
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.108388
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.118388
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.128388
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.138389
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.148391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.158390
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.168389
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.178391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.188389
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.198390
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.208392
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.218391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.228391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.238391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.248391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.258391
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.268394
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.278393
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.288393
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.298393
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.308393
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.318393
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.328394
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.338394
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.348394
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.358395
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.368395
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.378395
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.388396
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.398396
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.408398
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.418396
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.428396
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.438397
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.448399
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.458398
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.468398
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.478398
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.488398
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.498399
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.508400
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.518399
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.528400
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.538400
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.548400
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.558400
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.568401
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.578401
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.588401
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.598402
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.608401
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.618402
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.628404
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.638402
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.648403
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.658403
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.668404
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.678405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.688405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.698405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.708405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.718405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.728405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.738405
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.748407
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.758406
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.768406
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.778407
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.788405
