u_BT,u_VSP1,Absolute Time
0.000000,0.000000,3568944006.059900
0.000000,0.000000,3568944006.069898
0.000000,0.000000,3568944006.079899
0.000000,0.000000,3568944006.089900
0.000000,0.000000,3568944006.099900
0.000000,0.000000,3568944006.109895
0.000000,0.000000,3568944006.119902
0.000000,0.000000,3568944006.129901
0.000000,0.000000,3568944006.139902
0.000000,0.000000,3568944006.149901
0.000000,0.000000,3568944006.159902
0.000000,0.000000,3568944006.169901
0.000000,0.000000,3568944006.179905
0.000000,0.000000,3568944006.189902
0.000000,0.000000,3568944006.199903
0.000000,0.000000,3568944006.209898
0.000000,0.000000,3568944006.219903
0.000000,0.000000,3568944006.229903
0.000000,0.000000,3568944006.239904
0.000000,0.000000,3568944006.249904
0.000000,0.000000,3568944006.259903
0.000000,0.000000,3568944006.269902
0.000000,0.000000,3568944006.279904
0.000000,0.000000,3568944006.289906
0.000000,0.000000,3568944006.299906
0.000000,0.000000,3568944006.309901
0.000000,0.000000,3568944006.319905
0.000000,0.000000,3568944006.329906
0.000000,0.000000,3568944006.339907
0.000000,0.000000,3568944006.349906
0.000000,0.000000,3568944006.359909
0.000000,0.000000,3568944006.369905
0.000000,0.000000,3568944006.379907
0.000000,0.000000,3568944006.389908
0.000000,0.000000,3568944006.399908
0.000000,0.000000,3568944006.409904
0.000000,0.000000,3568944006.419909
0.000000,0.000000,3568944006.429909
0.000000,0.000000,3568944006.439909
0.000000,0.000000,3568944006.449909
0.000000,0.000000,3568944006.459909
0.000000,0.000000,3568944006.469910
0.000000,0.000000,3568944006.479911
0.000000,0.000000,3568944006.489911
0.000000,0.000000,3568944006.499911
0.000000,0.000000,3568944006.509906
0.000000,0.000000,3568944006.519911
0.000000,0.000000,3568944006.529912
0.000000,0.000000,3568944006.539914
0.000000,0.000000,3568944006.549912
0.000000,0.000000,3568944006.559912
0.000000,0.000000,3568944006.569912
0.000000,0.000000,3568944006.579913
0.000000,0.000000,3568944006.589914
0.000000,0.000000,3568944006.599915
0.000000,0.000000,3568944006.609909
0.000000,0.000000,3568944006.619914
0.000000,0.000000,3568944006.629914
0.000000,0.000000,3568944006.639915
0.000000,0.000000,3568944006.649916
0.000000,0.000000,3568944006.659916
0.000000,0.000000,3568944006.669915
0.000000,0.000000,3568944006.679915
0.000000,0.000000,3568944006.689916
0.000000,0.000000,3568944006.699916
0.000000,0.000000,3568944006.709911
0.000000,0.000000,3568944006.719917
0.000000,0.000000,3568944006.729917
0.000000,0.000000,3568944006.739918
0.000000,0.000000,3568944006.749918
0.000000,0.000000,3568944006.759918
0.000000,0.000000,3568944006.769919
0.000000,0.000000,3568944006.779920
0.000000,0.000000,3568944006.789920
0.000000,0.000000,3568944006.799920
0.000000,0.000000,3568944006.809914
0.000000,0.000000,3568944006.819920
0.000000,0.000000,3568944006.829920
0.000000,0.000000,3568944006.839921
0.000000,0.000000,3568944006.849921
0.000000,0.000000,3568944006.859921
0.000000,0.000000,3568944006.869920
0.000000,0.000000,3568944006.879921
0.000000,0.000000,3568944006.889923
0.000000,0.000000,3568944006.899923
0.000000,0.000000,3568944006.909916
0.000000,0.000000,3568944006.919923
0.000000,0.000000,3568944006.929922
0.000000,0.000000,3568944006.939923
